day,new features,edits
2016-05-31 00:00:00+05:45,0,3
2015-04-20 00:00:00+05:45,0,181
2011-08-03 00:00:00+05:45,528,11
2013-12-26 00:00:00+05:45,186,25
2013-11-08 00:00:00+05:45,25134,2344
2015-10-26 00:00:00+05:45,0,3
2010-07-31 00:00:00+05:45,0,16
2009-11-05 00:00:00+05:45,314,12
2013-12-10 00:00:00+05:45,6,3
2013-01-25 00:00:00+05:45,919,541
2009-09-08 00:00:00+05:45,0,1
2014-04-28 00:00:00+05:45,10249,509
2012-08-03 00:00:00+05:45,65,95
2012-09-15 00:00:00+05:45,1509,112
2012-09-12 00:00:00+05:45,669,904
2008-04-19 00:00:00+05:45,229,213
2011-04-19 00:00:00+05:45,0,1
2014-07-04 00:00:00+05:45,1717,229
2011-07-09 00:00:00+05:45,0,3
2016-09-25 00:00:00+05:45,0,1
2011-12-27 00:00:00+05:45,97,8
2013-02-20 00:00:00+05:45,2368,61
2008-09-29 00:00:00+05:45,1,0
2011-12-21 00:00:00+05:45,2,0
2014-10-08 00:00:00+05:45,5026,315
2016-05-27 00:00:00+05:45,0,2
2016-05-30 00:00:00+05:45,0,5
2012-11-30 00:00:00+05:45,1620,379
2015-01-26 00:00:00+05:45,0,2
2015-07-08 00:00:00+05:45,0,23
2013-11-28 00:00:00+05:45,432,166
2012-01-09 00:00:00+05:45,145,189
2008-09-07 00:00:00+05:45,0,45
2015-04-27 00:00:00+05:45,0,736
2012-02-22 00:00:00+05:45,0,4
2009-02-10 00:00:00+05:45,309,3810
2008-12-05 00:00:00+05:45,0,4673
2010-01-07 00:00:00+05:45,302,1
2016-08-26 00:00:00+05:45,0,2
2008-03-21 00:00:00+05:45,64,18
2014-12-01 00:00:00+05:45,3165,701
2009-03-28 00:00:00+05:45,0,1
2012-01-08 00:00:00+05:45,15,180
2013-07-02 00:00:00+05:45,164,306
2016-05-14 00:00:00+05:45,0,14
2014-09-13 00:00:00+05:45,5927,674
2016-06-27 00:00:00+05:45,0,3
2010-06-08 00:00:00+05:45,7034,1305
2010-09-12 00:00:00+05:45,1725,1729
2015-02-14 00:00:00+05:45,0,59
2013-10-19 00:00:00+05:45,1,343
2012-11-14 00:00:00+05:45,457,69
2011-03-10 00:00:00+05:45,3,3
2015-04-25 00:00:00+05:45,0,735
2011-11-06 00:00:00+05:45,1511,354
2011-08-20 00:00:00+05:45,40,89
2013-10-24 00:00:00+05:45,3391,396
2014-03-06 00:00:00+05:45,174,52
2014-04-18 00:00:00+05:45,418,282
2015-05-18 00:00:00+05:45,0,101
2008-06-06 00:00:00+05:45,1274,17
2010-04-15 00:00:00+05:45,1,4
2016-06-29 00:00:00+05:45,0,58
2011-12-16 00:00:00+05:45,69,8
2009-12-30 00:00:00+05:45,1305,12
2010-06-23 00:00:00+05:45,0,1
2011-06-16 00:00:00+05:45,9,7
2015-06-16 00:00:00+05:45,0,9
2014-03-28 00:00:00+05:45,23,91
2010-11-08 00:00:00+05:45,24,90
2011-12-14 00:00:00+05:45,823,9
2013-06-01 00:00:00+05:45,2357,423
2016-02-16 00:00:00+05:45,0,1
2013-07-31 00:00:00+05:45,1369,344
2016-03-21 00:00:00+05:45,0,8
2015-06-03 00:00:00+05:45,0,94
2014-06-10 00:00:00+05:45,1792,107
2010-10-04 00:00:00+05:45,0,1
2013-03-18 00:00:00+05:45,12911,451
2015-10-25 00:00:00+05:45,0,39
2011-03-23 00:00:00+05:45,0,1
2010-07-27 00:00:00+05:45,1,19
2015-01-15 00:00:00+05:45,0,6
2010-01-29 00:00:00+05:45,0,1
2014-07-28 00:00:00+05:45,572,49
2009-12-31 00:00:00+05:45,1615,6
2014-07-06 00:00:00+05:45,1607,263
2008-09-09 00:00:00+05:45,2800,79
2016-08-25 00:00:00+05:45,0,23
2015-05-10 00:00:00+05:45,0,51
2014-02-28 00:00:00+05:45,1011,28
2013-07-04 00:00:00+05:45,2138,984
2014-05-21 00:00:00+05:45,208,459
2012-07-08 00:00:00+05:45,1267,438
2009-09-10 00:00:00+05:45,0,2
2012-08-21 00:00:00+05:45,2734,309
2009-02-04 00:00:00+05:45,79,1
2009-02-28 00:00:00+05:45,120,36
2016-02-19 00:00:00+05:45,0,2
2009-04-13 00:00:00+05:45,0,7
2008-05-31 00:00:00+05:45,3152,53
2015-08-04 00:00:00+05:45,0,18
2012-11-27 00:00:00+05:45,1301,209
2009-08-13 00:00:00+05:45,0,5
2011-05-02 00:00:00+05:45,581,488
2009-10-29 00:00:00+05:45,0,3
2012-07-19 00:00:00+05:45,338,640
2011-10-09 00:00:00+05:45,382,135
2009-02-24 00:00:00+05:45,0,27
2014-11-03 00:00:00+05:45,1485,613
2016-04-28 00:00:00+05:45,0,27
2015-05-17 00:00:00+05:45,0,108
2014-06-27 00:00:00+05:45,375,34
2016-05-17 00:00:00+05:45,0,4
2011-06-14 00:00:00+05:45,129,8
2014-05-17 00:00:00+05:45,8926,1385
2012-09-19 00:00:00+05:45,2299,414
2013-04-23 00:00:00+05:45,3645,290
2010-05-07 00:00:00+05:45,152,135
2014-04-01 00:00:00+05:45,60,354
2011-10-21 00:00:00+05:45,0,1
2015-02-28 00:00:00+05:45,0,299
2013-04-11 00:00:00+05:45,6173,523
2012-10-27 00:00:00+05:45,155,32
2014-02-04 00:00:00+05:45,730,8
2014-12-14 00:00:00+05:45,3559,1117
2011-12-15 00:00:00+05:45,241,118
2009-11-23 00:00:00+05:45,31,2
2013-06-19 00:00:00+05:45,22169,2478
2013-08-17 00:00:00+05:45,2584,579
2010-02-07 00:00:00+05:45,1178,2133
2011-11-19 00:00:00+05:45,28,136
2014-11-01 00:00:00+05:45,6,3
2013-02-26 00:00:00+05:45,8754,620
2011-09-06 00:00:00+05:45,0,14
2012-06-26 00:00:00+05:45,725,994
2011-02-10 00:00:00+05:45,55,85
2013-01-27 00:00:00+05:45,1288,481
2011-10-30 00:00:00+05:45,982,13
2013-11-06 00:00:00+05:45,8047,2933
2014-09-06 00:00:00+05:45,4918,103
2016-06-06 00:00:00+05:45,0,134
2014-11-18 00:00:00+05:45,302,198
2012-03-17 00:00:00+05:45,308,5
2014-07-24 00:00:00+05:45,972,581
2015-03-10 00:00:00+05:45,0,14
2013-04-21 00:00:00+05:45,3950,448
2016-07-27 00:00:00+05:45,0,101
2012-05-13 00:00:00+05:45,112,322
2016-08-02 00:00:00+05:45,0,3
2015-09-05 00:00:00+05:45,0,13
2009-08-30 00:00:00+05:45,0,1
2015-08-17 00:00:00+05:45,0,22
2013-05-07 00:00:00+05:45,3070,803
2010-04-05 00:00:00+05:45,226,0
2014-12-12 00:00:00+05:45,619,9
2013-10-02 00:00:00+05:45,10327,2549
2009-03-27 00:00:00+05:45,0,1
2014-08-06 00:00:00+05:45,243,556
2012-06-18 00:00:00+05:45,24,4
2013-01-16 00:00:00+05:45,1002,483
2014-03-07 00:00:00+05:45,478,420
2010-10-18 00:00:00+05:45,47,0
2011-09-16 00:00:00+05:45,25,1
2011-01-02 00:00:00+05:45,1241,114
2009-07-15 00:00:00+05:45,80,22
2012-12-06 00:00:00+05:45,1442,679
2016-08-23 00:00:00+05:45,0,3
2010-05-06 00:00:00+05:45,45,76
2011-12-31 00:00:00+05:45,0,3
2016-05-10 00:00:00+05:45,0,35
2014-05-25 00:00:00+05:45,13,2
2012-08-30 00:00:00+05:45,800,796
2015-03-16 00:00:00+05:45,0,1
2011-10-08 00:00:00+05:45,3,0
2014-04-25 00:00:00+05:45,92,117
2013-09-20 00:00:00+05:45,693,439
2011-12-05 00:00:00+05:45,0,1
2013-04-27 00:00:00+05:45,3754,309
2008-08-21 00:00:00+05:45,5,13
2014-10-07 00:00:00+05:45,713,31
2014-02-25 00:00:00+05:45,2195,364
2011-12-12 00:00:00+05:45,0,10
2012-10-07 00:00:00+05:45,1881,1080
2011-08-26 00:00:00+05:45,52,16
